indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_gba_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual,ipc_ng_nacional_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_gba_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_pampeana_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_nea_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_noa_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_cuyo_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_patagonia_tasa_variacion_acumulada_dic_ano_anterior
2018-01-01,126.9887,127.0147,127.3092,124.7172,126.6479,127.4142,126.6303,0.01757353624647018,0.015799045419356617,0.018715646837688782,0.019967172545321876,0.01878242822552756,0.015014000693064133,0.025656331831395374,0.01757353624647018,0.015799045419356617,0.018715646837688782,0.019967172545321876,0.01878242822552756,0.015014000693064133,0.025656331831395374
2018-02-01,130.0606,130.2913,130.294,127.2934,129.236,130.773,129.2057,0.024190341345332378,0.025797014046405664,0.02344528125225831,0.020656332887524664,0.02043539608631484,0.02636126899513558,0.020337944394035246,0.04218898743224919,0.042003627662365206,0.04259972169387449,0.04103595399576543,0.03960165067209376,0.04177105779916279,0.04651607327557228
2018-03-01,133.1054,133.5028,132.8261,130.3843,133.248,133.5455,133.2304,0.023410625508416993,0.02464861429734766,0.01943374215236293,0.02428169881549236,0.031043981553127598,0.021200859504637792,0.031149554547516,0.06658728352602172,0.06768757317705187,0.0628613358533987,0.06631407548678925,0.07187502513815924,0.06385749963156084,0.07911458278492223
2018-04-01,136.7512,136.938,136.6295,133.8357,137.0205,138.0246,136.8583,0.027390323758465174,0.025731295523389708,0.028634432539990318,0.026470978484372854,0.02831186959654186,0.03353987966648053,0.027230271769806302,0.09580145453846134,0.09516055764912124,0.09329576707425691,0.09454045243658382,0.1022218110736608,0.09953915215148634,0.10849916614491684
2018-05-01,139.5893,139.58,139.6555,137.2536,140.178,140.5213,139.5783,0.020753748413176565,0.01929340285384651,0.022147486450583287,0.025538029090892866,0.02304399706613247,0.0180888044594949,0.019874570997886032,0.11854344223674573,0.11628993147748878,0.11750952026201422,0.12249285835206836,0.1276214072542694,0.11942850087031331,0.13053011152356153
2018-06-01,144.8053,145.0582,144.8408,141.5055,144.9444,145.6472,144.143,0.03736676091935398,0.039247743229688936,0.037129221548739766,0.030978422423892704,0.03400248255789062,0.03647774394344494,0.03270350763693197,0.16033978762071732,0.16010179207800435,0.15900177882264832,0.15726591628590159,0.16596333448633693,0.160262727088055,0.16750241165955382
2018-07-01,149.2966,149.1178,149.6247,146.3416,149.9066,150.9503,148.7858,0.031016129934470893,0.02798600837456955,0.03302867700261247,0.034176056761044515,0.034235196392547795,0.03641058667794517,0.03220968066434016,0.1963290372416977,0.19256841054645268,0.19728207422083477,0.19681670192851075,0.20588031822898656,0.20250857368188346,0.20510729151395513
2018-08-01,155.1034,155.1747,155.2167,152.1739,155.8659,156.0822,154.2103,0.038894388753662135,0.0406182226400873,0.03737350851831289,0.039854012802921446,0.03975341979605984,0.033997282549289354,0.03645845235230771,0.24285952389347054,0.24100841975956344,0.2420287060205506,0.2445146500899198,0.2538181847433496,0.2433905974292896,0.24904363828103548
2018-09-01,165.2383,165.4903,165.0633,163.3,165.1776,166.7562,164.3327,0.06534286160071301,0.0664773316784244,0.06343776152952607,0.0731143776955181,0.05974173953379158,0.06838704221237268,0.06564023285085363,0.32407152175236953,0.3235073480956372,0.32082022688590817,0.33550656426419967,0.328723464159018,0.32842240270215384,0.33103115353868007
2018-10-01,174.1473,173.8549,174.6171,171.25,173.9582,176.6713,173.8678,0.05391607151610733,0.05054435214631914,0.057879613457382684,0.04868340477648503,0.053158539656708914,0.059458658808487996,0.058023144511104574,0.39546025661161144,0.39040316956602394,0.397268791064757,0.40052357091392654,0.3993564631213147,0.40740861709797294,0.4082617665092372
