Aglomerado,Casos_imputados,Promedio_original_PONDIIO,Promedio_posterior_PONDERA,Variacion_porcentual
Partidos del GBA,861,909211.593140372,870073.9226723445,-4.304572308943833
Gran Rosario,165,1049230.9273557086,998477.9884411487,-4.837156205685666
